Organization,full,Address,City,State,Zipcode,Phone,Hours,Type,LegnedIcon,Process,AdditionalInfo,Website,VerifiedOn,N_LON,N_LAT,N_MCODE,N_LCODE
"Homeward Bound, Inc.","319 N 12th St, Corsicana, TX 75110",319 N 12th St,Corsicana,TX,75110,903-941-3500x502,M-Th: 8:30a-7:30p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Narcan is inside the Homeward Bound office and is free.,,,2/10/2026,,,,
Princeton Pharmacy,"100 W Princeton Dr, Princeton, TX 75407",100 W Princeton Dr,Princeton,TX,75407,,M-F: 9a-6p; Sat: 9a-2p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Closed Sunday.,,,2/12/2026,,,,
"North Texas Addiction Counseling and Education, Fort Worth","3539 Jim Wright Fwy, Fort Worth, TX 76106",3539 Jim Wright Fwy,Fort Worth,TX,76106,,M-F: 5a-12p; Sat: 7a-10a,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Closed Sunday.,,,2/12/2026,,,,
"North Texas Addiction Counseling and Education, Arlington","124 W Pioneer Pkwy #120, Arlington, TX 76010",124 W Pioneer Pkwy #120,Arlington,TX,76010,,M-Th: 5:30a-8p; Sat: 7a-5p,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Closed Friday and Sunday.,,,2/12/2026,,,,
"North Texas Addiction Counseling and Education, Weatherford","1506 Mineral Wells Hwy, Weatherford, TX 76086",1506 Mineral Wells Hwy,Weatherford,TX,76086,,M-F: 5:30a-8:30p; Sat: 7a-9a,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,Closed Sunday.,,,2/12/2026,,,,
Nexus Recovery Center,"3312 N Buckner Blvd, Suite 208, Dallas, TX 75228","3312 N Buckner Blvd, Suite 208",Dallas,TX,75228,,M-F: 7:30a-5p; Sat: 7a-9a,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Accessible with appointment only. Closed Sunday.,,,2/12/2026,,,,
Club Dada,"2720 Elm St, Dallas, TX 75226",2720 Elm St,Dallas,TX,75226,,,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,This vending machine is in a concert venue. The vending machine's hours of operation are based on events hoted at Club Dada.,,,2/12/2026,,,,
Reno's Bar,"210 N Crowdus St, Dallas, TX 75226",210 N Crowdus St,Dallas,TX,75226,,M-Sun: 2p-2a,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
Backstage at Toyota Music Pavillion,"316 W Las Colinas Blvd, Irving, TX 75039",316 W Las Colinas Blvd,Irving,TX,75039,,,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,This vending machine is in a concert venue. The vending machines hours of operation are based on events hosted at Toyota Music Pavillion. This machine is exclusively accesible to artist with backstage access.,,,2/12/2026,,,,
The Proletariat Gallery and Public House,"2221 Market St, Galveston, TX 77550",2221 Market St,Galveston,TX,77550,,M-Sun: 11a-12a,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
Everything Ellum,"2715 Main St, Dallas, TX 75226",2715 Main St,Dallas,TX,75226,,M-Sun: 11a-8p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
"Homeward Bound, Inc.","5300 University Hills, Blvd, Dallas, TX 75241",5300 University Hills Blvd,Dallas,TX,75241,,M-F: 8a-4:30 pm,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,,,,2/12/2026,,,,
Stop and Shop,"3195 S Great Trinity Forest Way, Dallas, TX 75216",3195 S Great Trinity Forest Way,Dallas,TX,75216,,M-Sun: 1p-7p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
American Dollar Plus,"9770 Forest Ln, Dallas, TX 75243",9770 Forest Ln,Dallas,TX,75243,,M-Sun: 9a-10p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
80 Food Mart Beer and Vape,"1111 N Town East Blvd, Mesquite, TX 75150",1111 N Town East Blvd,Mesquite,TX,75150,,M-F: 7a-12a; Sat: 7a-1a; Sun: 8a-11p ,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
Chevron,"4646 Broadway Blvd, Garland, TX 75043",4646 Broadway Blvd,Garland,TX,75043,,Sun-Th: 5a-1a; Fri-Sat: 5:30a-2a,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,,,,2/12/2026,,,,
ED & OG Smoke Shop,"10325 Lake June Rd, Ste 580, Dallas, TX 75217","10325 Lake June Rd, Ste 580",Dallas,TX,75217,,M-Sun: 10a-1a,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
Hatcher Food Store (Beer and Wine),"2702 Elsie Faye Heggins St, Dallas, TX 75215",2702 Elsie Faye Heggins St,Dallas,TX,75215,,M-F: 7a-12a; Sat: 7a-1a; Sun: 8a-11p ,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
Shell,"3305 Grand Ave, Dallas, TX 75210",3305 Grand Ave,Dallas,TX,75210,,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,,,,2/12/2026,,,,
Puff n Stuff,"4815 Columbia Ave, Dallas, TX 75226",4815 Columbia Ave,Dallas,TX,75226,,M-F: 10a-10p; Sat: 10a-11p; Sun: 12p-10p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
Arcadia Liquor,"2214 Inwood Rd, Dallas, TX 75235",2214 Inwood Rd,Dallas,TX,75235,,M-Sat: 10a-9p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Closed Sunday.,,,2/12/2026,,,,
Station 4,"3911 Cedar Springs Rd, Dallas, TX 75219",3911 Cedar Springs Rd,Dallas,TX,75219,,W-Sat: 9p-4a,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Closed Sunday through Tuesday.,,,2/12/2026,,,,
JR's Bar and Grill,"3923 Cedar Springs Rd, Dallas, TX 75219",3923 Cedar Springs Rd,Dallas,TX,75219,,M: 12 p-1a; Tue-F: 11a-1a; Sat: 11a-2a; Sun: 12a-2a,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
TMC ,"3903 Cedar Springs Rd, Dallas, TX 75219",3903 Cedar Springs Rd,Dallas,TX,75219,,M-Sun: 2p-2a,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
Sue Ellen's,"3014 Throckmorton St, Dallas, TX 75219",3014 Throckmorton St,Dallas,TX,75219,,M-Sun: 2p-2a,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2926,,,,
Pandacorn Café,"3917 Cedar Springs Rd, Dallas, TX 75219",3917 Cedar Springs Rd,Dallas,TX,75219,,M-Sun: 7a-10p,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,,,,2/12/2026,,,,
CommUnity Care - Oak Hill Health Center,"8656-A Hwy 71, West Ste C, Austin, TX 78735","8656-A Hwy 71, West Ste C",Austin,TX,78735,,M-Fri: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,2/18/2026,,,,
The Other Ones Foundation (TOOF),"760 Bastrop Hwy SB, Austin, TX 78741",760 Bastrop Hwy SB,Austin,TX,78741,,Sun-Sat: 9a-5p,Public Social Service,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/babb1b3f840344a0ba12430e24787815/data,,,,2/18/2026,,,,
CommUnity Care - William Cannon,"6801 S I-35, Austin, TX 78744",6801 S I-35,Austin,TX,78744,,M-F: 7a-6p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,,,,2/18/2026,,,,
Blue Skies Mutual Aid,"104 SW Ave C, Seminole, TX 79360",104 SW Ave C,Seminole,TX,79360,,M-F: 9:30a-1p,Public Social Service,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/babb1b3f840344a0ba12430e24787815/data,"Blue Skies Mutual Aid distributes free Narcan, while supplies last, to any walk-in clients at our office.",,,2/24/2026,,,,
Dallas County Health and Human Services Garland Clinic,"206 Carver St, Garland, TX 75040",206 Carver St,Garland,TX,75040,,M-F: 8a-5p,Community Health Clinic,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/417cb39cebcc40eb88d2296c0f91588a/data,Naloxone available upon request. Sign in waiting room indicating this. Staff provide a brief training and handout before providing requestor with one box.,"Clinic track how many boxes are given for reporting. It is an outlying clinic of Dallas County providing immunization, TB screenings, and education.",,3/10/2026,,,,
Betty Hardwick Center Community Health Worker Program,"801 Cypress St, Abilene, TX 79601",801 Cypress St,Abilene,TX,79601,,M-F: 8a-4:30p,Recovery Support Services,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/9eced037df214baaa061e9147f8abc3d/data,Naloxone can be brought to individuals upon request.,,https://bettyhardwick.org/substance-use-disorder-treatment-recovery/,3/24/2026,-99.733396,32.457493,M,M
Mo Ranch,"2229 FM 1340, Hunt, TX 78024",2229 FM 1340,Hunt,TX,78024,800-460-4401,24/7,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Inside Lobby. Free to anyone.,,,4/10/2026,-99.471599,30.058157,M,M
Vapor Maven,"1304 Junction Hwy, Suite 800, Kerrville, TX 78028","1304 Junction Hwy, Suite 800",Kerrville,TX,78028,830-955-5182,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,,,,4/10/2026,-99.170056,30.063107,M,M
The Opportunity Center for the Homeless,"1208 Myrtle Ave, El Paso, TX 79901",1208 Myrtle Ave,El Paso,TX,79901,,24/7,Private Entity,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2f1ec57d1b464e1c97c64d4af915bd2b/data,Naloxone available in the Men's Shelter and Resource Center. Available to all.,,,4/13/2026,-106.477014,31.763714,M,M
Mr. Puff,"518 Junction Hwy, Kerrville, TX 78028",518 Junction Hwy,Kerrville,TX,78028,830-496-3076,24/7,Freestanding Dispenser,https://txdshsea.maps.arcgis.com/sharing/rest/content/items/2fb96568775a48fd8830b646c6bc1880/data,,,,4/13/2026,-99.1570669,30.055555,M,M
